domain,schdomain,ukdomain,county,urns
capelmanor.enfield.sch.uk,1,1,enfield,{101981}
capelprimary.org,0,0,,{118515}
capelschool.com,0,0,,{118271}
capel-st-mary.suffolk.sch.uk,1,1,suffolk,{124749}
capenhurstcep.cheshire.sch.uk,1,1,cheshire,{111271}
capeprimary.com,0,0,,{103937}
capitalcityacademy.org,0,0,,{134226}
capitalschooluae.com,0,0,,{144517}
captaincookprimary.co.uk,0,1,,{130337}
captains-close.leics.sch.uk,1,1,leics,"{139845,119988}"
captainwebbprimary.org.uk,0,1,,{123443}
capt-shaws.cumbria.sch.uk,1,1,cumbria,{112290}
carbrookeschool.co.uk,0,1,,{141721}
carclaze-jnr.cornwall.sch.uk,1,1,cornwall,{111902}
carclazesch.org,0,0,,{141710}
carcroftprimary.co.uk,0,1,,{106757}
carden.brighton-hove.sch.uk,1,1,brighton-hove,{131789}
cardinalallen.co.uk,0,1,,{119799}
cardinalgriffin.staffs.sch.uk,1,1,staffs,{124468}
cardinalheenan.leeds.sch.uk,1,1,leeds,{108095}
cardinal-heenan.org.uk,0,1,,{104714}
cardinalhume.com,0,0,,"{137852,108412}"
cardinalnewman.ac.uk,0,1,,{130745}
cardinalnewman.coventry.sch.uk,1,1,coventry,{103743}
cardinal-newman.org.uk,0,1,,{111456}
cardinalnewman.oxon.sch.uk,1,1,oxon,{123226}
cardinalnewmanschool.co.uk,0,1,,"{143364,125237}"
cardinalnewmanschool.net,0,0,,"{142310,109699}"
cardinalpole.co.uk,0,1,,{100285}
cardinalroad.co.uk,0,1,,{102471}
cardinalwiseman.coventry.sch.uk,1,1,coventry,{103744}
cardinalwiseman.net,0,0,,{103539}
cardinhamschool.co.uk,0,1,,{111911}
cardrewschool.ik.org,0,0,,{111854}
cardwellschool.co.uk,0,1,,{100155}
caretech-uk.com,0,0,,{136749}
care-trade.org,0,0,,{143526}
carewacademy.org,0,0,,{139722}
carfax-oxford.com,0,0,,{139997}
carfieldprimary.co.uk,0,1,,{107087}
carisbrookecepri.iow.sch.uk,1,1,iow,{118183}
carisbrookehighschool.co.uk,0,1,,{118214}
carisbrooke.iow.sch.uk,1,1,iow,{136012}
carleton-endowed.n-yorks.sch.uk,1,1,n-yorks,{121624}
carletongreen.lancs.sch.uk,1,1,lancs,{119316}
carletonhigh.com,0,0,,{108279}
carletonhigh.co.uk,0,1,,{139501}
carletonpark.co.uk,0,1,,{140337}
carletonrodeprimaryschool.com,0,0,,{121110}
carlinghowprincessroyal.co.uk,0,1,,{107636}
carlisle.ac.uk,0,1,,{130634}
carlisleandhamptonhillfed.richmond.sch.uk,1,1,richmond,{102883}
carltonbolling.co.uk,0,1,,{107413}
carlton.brent.sch.uk,1,1,brent,{101498}
carlton.camden.sch.uk,1,1,camden,{100012}
